folder,slug,bucket,candidate_tags,signals,status,contributed,target_skill
magmax_rna_flex_multi-cells,Magmax_RNA_Flex_Multi-Cells,bead-cleanup,"bead-cleanup,reagent-distribution,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=_multi|flex_8channel,nothing-new,-,family-bead-cleanup-ampure
6d901d-1-2,6d901d-1-2,normalization,"ngs-library-prep,normalization,cherrypicking,plate-reformatting",pipettes=_multi,nothing-new,-,family-normalize-to-target
pacbio-sre-shearing,pacbio-sre-shearing,ngs-library-prep,"ngs-library-prep,bead-cleanup,reagent-distribution",modules=heatershakermodulev1|magneticblockv1; pipettes=flex_8channel,amended,high-cycle pipette shearing for mechanical DNA fragmentation and deep-well plate handling,family-ngs-library-prep
macherey-nagel-nucleomag-pathogen,macherey-nagel-nucleomag-pathogen,bead-cleanup,"bead-cleanup,purification,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi|_single,nothing-new,-,family-bead-cleanup-ampure
hdq_dna_ot2-cells,HDQ_DNA_OT2-Cells,bead-cleanup,"bead-cleanup,simple-transfer,new:washing,new:blood-clinical",modules=heatershakermodulev1|magnetic module gen1|magnetic module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
pcr-normalization-csv,pcr-normalization-csv,pcr-setup,"pcr-setup,normalization,simple-transfer",modules=temperature module gen2|thermocyclermodulev2,nothing-new,-,family-pcr-setup
0000025894-2,0000025894-2,protein-assay,"protein-assay,purification",modules=heatershakermodulev1|temperature module gen2; pipettes=_single,out-of-scope,tube-based cell lysis & enzymatic digestion workflow with extensive manual pauses/sonication/centrifugation; not a plate-based colorimetric quantitation assay,family-protein-assay
zymo_quick-rna_flex_multi-cells,Zymo_Quick-RNA_Flex_Multi-Cells,bead-cleanup,"bead-cleanup,reagent-distribution,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=_multi|flex_8channel,nothing-new,-,family-bead-cleanup-ampure
sci-omegabiotek-magbind-total-rna-96,sci-omegabiotek-magbind-total-rna-96,bead-cleanup,"bead-cleanup,purification,simple-transfer,new:washing,new:blood-clinical",modules=mag_gen|temperature module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
forenseq_dna_signature_prep,forenseq_dna_signature_prep,ngs-library-prep,"pcr-setup,normalization,pooling,reagent-distribution,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2|thermocycler module gen2,nothing-new,-,family-ngs-library-prep
sci-idt-xgen-mc,sci-idt-xgen-mc,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,new:washing",modules=magnetic module gen2|temperature module gen2|thermocycler module; pipettes=_multi,nothing-new,-,family-ngs-library-prep
flexflowratevolumetestprotocol_v3_csv,flexflowratevolumetestprotocol_v3_csv,simple-transfer,simple-transfer,modules=magne; pipettes=_multi|_single|flex_8channel,out-of-scope,pipette calibration test relying on unsupported flow-rate/offset/touch-tip tuning,family-simple-transfer
bca_peptide_assay,bca_peptide_assay,protein-assay,"protein-assay,serial-dilution,plate-reformatting",modules=heatershakermodulev1|temperature module gen2; pipettes=flex_8channel,nothing-new,-,family-protein-assay
sci-mag-bind-blood-tissue-kit,sci-mag-bind-blood-tissue-kit,bead-cleanup,"bead-cleanup,simple-transfer,new:washing,new:blood-clinical",modules=magdeck; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
omega-bio-tek-mag-bind-environmental-dna-96,omega-bio-tek-mag-bind-environmental-dna-96,bead-cleanup,"bead-cleanup,purification,new:washing",modules=magnetic module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
normalization,normalization,normalization,"normalization,plate-reformatting,simple-transfer",-,nothing-new,-,family-normalize-to-target
virus-counter,virus-counter,normalization,"cell-seeding,simple-transfer",pipettes=flex_8channel,nothing-new,-,family-normalize-to-target
illumina-stranded_total_rna_ribo-zero,Illumina-Stranded_total_RNA_Ribo-Zero,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,reagent-distribution,simple-transfer",modules=magneticblockv1|temperature module gen2|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
pacbio-hifi-prep,pacbio-hifi-prep,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,simple-transfer",modules=magneticblockv1|temperature module gen2|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
transient_transfection_of_helacells_protocol_1,transient_transfection_of_HeLacells_Protocol_1,cell-seeding,"cell-seeding,plate-reformatting,new:absorbance-read,new:washing",modules=heatershakermodulev1; pipettes=_single,nothing-new,-,family-cell-seeding
ptcl-1111,PTCL-1111,ngs-library-prep,"ngs-library-prep,bead-cleanup,reagent-distribution,simple-transfer,new:washing",pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
checkit,checkit,simple-transfer,simple-transfer,pipettes=_multi|_single,out-of-scope,volume accuracy testing protocol using unsupported blowout and manual cartridge flipping steps,family-simple-transfer
flexuniversaldemo,flexuniversaldemo,pcr-setup,"pcr-setup,cherrypicking,new:absorbance-read",modules=heatershakermodulev1|magneticblockv1|temperature module gen2|thermocyclermodulev2; pipettes=96-channel|flex_8channel|flex_96channel,out-of-scope,hardware demonstration protocol without defined biological workflow,family-pcr-setup
macherey-nagel-nucleomag-tissue,macherey-nagel-nucleomag-tissue,bead-cleanup,"bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi|_single,nothing-new,-,family-bead-cleanup-ampure
plate_read_abs,plate_read_abs,new-family-candidate,new:absorbance-read,modules=absorbancereaderv1|heatershakermodulev1,pending,-,
mvl,mvl,reagent-distribution,bead-cleanup,modules=heatershakermodulev1; pipettes=flex_96channel,nothing-new,-,family-reagent-distribution
006uv00000bemutyat_p3,006UV00000BEmuTYAT_p3,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,simple-transfer,new:washing",-,nothing-new,-,family-ngs-library-prep
peptide_cleanup_lcms,peptide_cleanup_lcms,bead-cleanup,"pcr-setup,bead-cleanup,purification,simple-transfer,new:washing",modules=heatershakermodulev1|magneticblockv1|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-bead-cleanup-ampure
qiaseq-targeted-dna-pro-8x,QIAseq-Targeted-DNA-Pro-8x,ngs-library-prep,"ngs-library-prep,pcr-setup,normalization,reagent-distribution,new:washing",-,nothing-new,-,family-ngs-library-prep
sci-zymo-directzol-magbead,sci-zymo-directzol-magbead,bead-cleanup,"bead-cleanup,purification,simple-transfer",modules=mag_gen|temperature module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
moclo-assembly-prep,moclo-assembly-prep,pcr-setup,"pcr-setup,simple-transfer",modules=module_name; pipettes=_single,nothing-new,-,family-pcr-setup
ptcl-1076-2,PTCL-1076-2,new-family-candidate,unclassified,modules=module_name; pipettes=_multi,pending,-,
0451f3,0451f3,bead-cleanup,"bead-cleanup,simple-transfer",modules=magnetic module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
5b8174,5b8174,cherrypicking,"pcr-setup,cherrypicking,simple-transfer",modules=temperature module gen2; pipettes=_single,nothing-new,-,family-cherrypicking
pierce-bca-protein-assay-kit,pierce-bca-protein-assay-kit,protein-assay,"protein-assay,simple-transfer",modules=heatershakermodulev1; pipettes=_multi|_single,nothing-new,-,family-protein-assay
sci-lucif-assay2,sci-lucif-assay2,reagent-distribution,"pcr-setup,cell-seeding,simple-transfer,new:absorbance-read,new:blood-clinical",pipettes=_single,amended,partitioned multi-mix column distribution from tube rack sources,family-reagent-distribution
imac-by-ni-nta-magnetic-agarose-beads-on-flex,imac-by-ni-nta-magnetic-agarose-beads-on-flex,purification,"elisa,purification,reagent-distribution,simple-transfer,new:washing,new:colony-agar",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=flex_8channel,nothing-new,-,family-purification
ptcl-1015,PTCL-1015,pooling,"pooling,simple-transfer",-,nothing-new,-,family-pooling
ptcl-969-miseq-library-prep,ptcl-969-miseq-library-prep,ngs-library-prep,"ngs-library-prep,pcr-setup,reagent-distribution,plate-reformatting,simple-transfer",modules=heatershakermodulev1|temperaturemodulev2|thermocyclermodulev2; pipettes=96-channel|96channel|flex_96channel,nothing-new,-,family-ngs-library-prep
seqwell-expressplex-pooling,seqwell-expressplex-pooling,pooling,"ngs-library-prep,pcr-setup,bead-cleanup,pooling",modules=heatershakermodulev1,nothing-new,-,family-pooling
dna_transfection_up_to_4,dna_transfection_up_to_4,cell-seeding,"pcr-setup,cell-seeding,plate-reformatting,new:blood-clinical",pipettes=_single,nothing-new,-,family-cell-seeding
dinosaur,dinosaur,reagent-distribution,reagent-distribution,pipettes=_single,nothing-new,-,family-reagent-distribution
magmax_rna_flex_96-cells,Magmax_RNA_Flex_96-Cells,bead-cleanup,"bead-cleanup,reagent-distribution,simple-transfer,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=96channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
qiaseq-targeted-dna-pro-48x,QIAseq-Targeted-DNA-Pro-48x,ngs-library-prep,"ngs-library-prep,pcr-setup,normalization,reagent-distribution,new:washing",-,nothing-new,-,family-ngs-library-prep
invitrogen_elisa_captureabcoating,invitrogen_elisa_captureabcoating,elisa,"elisa,purification,new:absorbance-read,new:washing",modules=heatershakermodulev1|temperature module gen2; pipettes=flex_8channel,nothing-new,-,family-elisa
cherrypicking_custom_csv2,cherrypicking_custom_csv2,cherrypicking,cherrypicking,pipettes=_single,nothing-new,-,family-cherrypicking
scale_biosciences_single_cell_methylation_kit_large,scale_biosciences_single_cell_methylation_kit_large,ngs-library-prep,"ngs-library-prep,pcr-setup,new:staining,new:washing",modules=temperature module gen2|thermocycler module gen2; pipettes=_single|flex_8channel,out-of-scope,single-cell nuclei handling and bisulfite conversion rely on manual sorting/chemical steps outside standard plate-based liquid handling.,family-ngs-library-prep
sample-dil,sample-dil,reagent-distribution,reagent-distribution,modules=temperature module gen2; pipettes=96channel|flex_96channel,nothing-new,-,family-reagent-distribution
protein_normal,protein_normal,normalization,"protein-assay,normalization,new:absorbance-read",-,nothing-new,-,family-normalize-to-target
ptcl-1095-2,PTCL-1095-2,purification,"purification,new:washing",modules=module_name; pipettes=_multi,nothing-new,-,family-purification
illumina-dna-prep-96x,Illumina-DNA-Prep-96x,ngs-library-prep,"ngs-library-prep,pcr-setup,reagent-distribution,new:washing",-,nothing-new,-,family-ngs-library-prep
sigdx-no50,sigdx-no50,ngs-library-prep,"pcr-setup,bead-cleanup,new:washing",modules=temperature module gen2,nothing-new,-,family-ngs-library-prep
ptcl-1018-6,PTCL-1018-6,normalization,"pcr-setup,pooling,reagent-distribution",modules=temperaturemodulev2|thermocyclermodulev2; pipettes=flex_8channel,pending,-,family-normalize-to-target
sci-promega-magnesil-total-rna-mini-isolation-system,sci-promega-magnesil-total-rna-mini-isolation-system,bead-cleanup,"bead-cleanup,purification,simple-transfer,new:washing",modules=magdeck|temperature module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
washes,washes,bead-cleanup,"bead-cleanup,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=flex_96channel,nothing-new,-,family-bead-cleanup-ampure
micro-bio-id,micro-bio-ID,new-family-candidate,new:washing,modules=heatershakermodulev1|magneticblockv1; pipettes=flex_8channel,pending,-,
hdq_dna_flex_multi-cells,HDQ_DNA_Flex_Multi-Cells,bead-cleanup,"bead-cleanup,reagent-distribution,new:washing,new:blood-clinical",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=_multi|flex_8channel,nothing-new,-,family-bead-cleanup-ampure
normalization_with_csv_upload,normalization_with_csv_upload,normalization,"normalization,pooling,simple-transfer",-,nothing-new,-,family-normalize-to-target
072a8c,072a8c,simple-transfer,simple-transfer,pipettes=_single,nothing-new,-,family-simple-transfer
sci-phytip-protein-puri,sci-phytip-protein-puri,purification,"purification,new:washing",pipettes=_multi,nothing-new,-,family-purification
4e4c0c-airgap-full-volume,4e4c0c-airgap-full-volume,reagent-distribution,"bead-cleanup,simple-transfer,new:washing",pipettes=_multi,nothing-new,-,family-reagent-distribution
hdq_dna_flex_96-cells,HDQ_DNA_Flex_96-Cells,bead-cleanup,"bead-cleanup,reagent-distribution,new:washing,new:blood-clinical",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=96channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
immunoprecipitation-by-dynabeads-on-flex,immunoprecipitation-by-dynabeads-on-flex,purification,"elisa,bead-cleanup,reagent-distribution,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=flex_8channel,nothing-new,-,family-purification
ptcl-1018-3,PTCL-1018-3,bead-cleanup,"bead-cleanup,reagent-distribution,simple-transfer,new:washing",modules=magneticblockv1; pipettes=flex_8channel,nothing-new,-,family-bead-cleanup-ampure
restriction-enzyme-digest,restriction-enzyme-digest,pcr-setup,"pcr-setup,simple-transfer",modules=module_name; pipettes=_single,nothing-new,-,family-pcr-setup
qrt-pcrsetup_from_csv_part2,qRT-PCRSetup_From_CSV_part2,pcr-setup,"pcr-setup,normalization,cherrypicking,reagent-distribution,simple-transfer",modules=temperature module gen2; pipettes=_multi|_single,nothing-new,-,family-pcr-setup
dtpm_magna_gene,DTPM_MagNA_Gene,bead-cleanup,"pcr-setup,bead-cleanup,purification,new:washing",modules=heatershakermodulev1|magnetic module gen2|temperature module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
pcr_amp_uminn,pcr_amp_uminn,bead-cleanup,"pcr-setup,bead-cleanup,new:washing",modules=magneticblockv1|temperature module gen2|thermocyclermodulev2; pipettes=flex_96channel,nothing-new,-,family-bead-cleanup-ampure
079db2,079db2,plate-reformatting,"reagent-distribution,plate-reformatting",pipettes=_single,nothing-new,-,family-plate-reformatting
ptcl-921-2,PTCL-921-2,ngs-library-prep,"ngs-library-prep,pcr-setup",modules=magneticblockv1|temperature module gen2|thermocyclermodulev2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
seqwell-expressplex-library-prep,seqwell-expressplex-library-prep,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,pooling,simple-transfer",modules=heatershakermodulev1; pipettes=96-channel|flex_96channel,nothing-new,-,family-ngs-library-prep
ptcl-921-1,PTCL-921-1,ngs-library-prep,"ngs-library-prep,pcr-setup,new:washing",modules=magneticblockv1|temperature module gen2|thermocyclermodulev2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
takara_infusion_assembly_flex,takara_infusion_assembly_flex,pcr-setup,"pcr-setup,plate-reformatting,simple-transfer",modules=temperature module gen2; pipettes=flex_8channel,nothing-new,-,family-pcr-setup
ptcl-1018-4,PTCL-1018-4,pcr-setup,"pcr-setup,reagent-distribution,simple-transfer",modules=temperature module gen2|thermocyclermodulev2; pipettes=flex_8channel,nothing-new,-,family-pcr-setup
wo36343,WO36343,normalization,"pcr-setup,normalization,reagent-distribution",modules=module_name|temperature module gen2,nothing-new,-,family-normalize-to-target
cherrypicking,cherrypicking,cherrypicking,"cherrypicking,reagent-distribution,simple-transfer",pipettes=_single,nothing-new,-,family-cherrypicking
bca_ms,bca_ms,new-family-candidate,new:absorbance-read,-,pending,-,
bc-rnadvance-viral,bc-rnadvance-viral,bead-cleanup,"bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2|temperature module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
macherey-nagel-nucleomag-dna-food,macherey-nagel-nucleomag-dna-food,bead-cleanup,"bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi|_single,nothing-new,-,family-bead-cleanup-ampure
71,71,bead-cleanup,"purification,new:washing,new:blood-clinical",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=flex_8channel,nothing-new,-,family-bead-cleanup-ampure
illumina-nextera-xt-library-prep-part2,illumina-nextera-xt-library-prep-part2,ngs-library-prep,"ngs-library-prep,bead-cleanup,normalization,pooling,reagent-distribution,simple-transfer,new:washing",modules=mag_gen,nothing-new,-,family-ngs-library-prep
3359a5,3359a5,cherrypicking,"cherrypicking,simple-transfer",pipettes=_single,nothing-new,-,family-cherrypicking
illumina-nextera-xt-library-prep-part3,illumina-nextera-XT-library-prep-part3,ngs-library-prep,"ngs-library-prep,normalization,pooling,reagent-distribution,simple-transfer,new:washing",modules=magdeck,nothing-new,-,family-ngs-library-prep
forenseq_dna_signature_prep_pt2,forenseq_dna_signature_prep_pt2,pooling,"pcr-setup,normalization,pooling,reagent-distribution,new:washing",modules=heatershakermodulev1|temperature module gen2|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-pooling
mn_dna_flex_96-cells,MN_DNA_Flex_96-Cells,bead-cleanup,"bead-cleanup,purification,reagent-distribution,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=96channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
macherey-nagel-nucleomag-dna-microbiome,macherey-nagel-nucleomag-dna-microbiome,bead-cleanup,"bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi|_single,nothing-new,-,family-bead-cleanup-ampure
quickr_1,quickr_1,serial-dilution,plate-reformatting,pipettes=flex_96channel,out-of-scope,uses 96-channel (MCA96) head for fixed-volume assay layout on PCR plates rather than LiHa column-wise serial dilution,family-serial-dilution
sci-phytip-protein-a,sci-phytip-protein-A,purification,"purification,new:washing",pipettes=_multi,nothing-new,-,family-purification
illumina-nextera-xt-library-prep-part4,illumina-nextera-XT-library-prep-part4,pooling,"ngs-library-prep,normalization,pooling,simple-transfer",-,nothing-new,-,family-pooling
0000030070,0000030070,new-family-candidate,"new:washing,new:blood-clinical",modules=heatershakermodulev1|magnetic module gen2; pipettes=_multi,pending,-,
qiaseq-fx-48x,QIAseq-FX-48x,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,normalization,reagent-distribution",-,nothing-new,-,family-ngs-library-prep
ptcl-1076-1,PTCL-1076-1,cell-seeding,"cell-seeding,simple-transfer",modules=module_name; pipettes=_multi,nothing-new,-,family-cell-seeding
sci-zymo-quick-dna-rna-magbead,sci-zymo-quick-dna-rna-magbead,bead-cleanup,"bead-cleanup,purification,simple-transfer,new:washing",modules=magdeck|temperature module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
magnesil,magnesil,bead-cleanup,"bead-cleanup,purification,simple-transfer,new:washing",modules=mag_model,nothing-new,-,family-bead-cleanup-ampure
flex-custom-parameters-cherrypicking,flex-custom-parameters-cherrypicking,cherrypicking,"cherrypicking,reagent-distribution,simple-transfer",-,nothing-new,-,family-cherrypicking
neoswitch_96-channel_ni-nta_protein_purification,neoSwitch_96-channel_Ni-NTA_protein_purification,bead-cleanup,"pcr-setup,purification,cell-seeding,reagent-distribution,simple-transfer,new:washing,new:colony-agar",modules=heatershakermodulev1|magneticblockv1|thermocyclermodulev2; pipettes=96-channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
agar_plate_method_bacteria,agar_plate_method_bacteria,serial-dilution,"serial-dilution,cell-seeding,reagent-distribution,new:colony-agar",modules=heatershakermodulev1; pipettes=flex_8channel,out-of-scope,relies on custom tilt adapter and agar plate manipulation beyond standard liquid handling,family-serial-dilution
76c562,76c562,normalization,"normalization,cherrypicking,simple-transfer",pipettes=_single,nothing-new,-,family-normalize-to-target
illumina-mrna-stranded,illumina-mrna-stranded,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,purification,reagent-distribution,simple-transfer,new:washing",modules=magneticblockv1|temperature module gen2|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
sci-macherey-nagel-nucleomag,sci-macherey-nagel-nucleomag,bead-cleanup,"bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
ml-normalization-cdna-library,ML-normalization-cdna-library,normalization,"normalization,simple-transfer",modules=temperature module gen2; pipettes=_multi|_single,amended,worklist-driven per-well normalization with conditional dual-pipette volume routing,family-normalize-to-target
bca_normalization_from_csv,BCA_Normalization_from_CSV,normalization,"pcr-setup,protein-assay,normalization,simple-transfer",-,amended,"worklist-driven per-well BCA-style normalization (buffer-first, sample-add, mix)",family-normalize-to-target
0000032117,0000032117,simple-transfer,simple-transfer,pipettes=_single,nothing-new,-,family-simple-transfer
sci-idt-normalase,sci-idt-normalase,pooling,"ngs-library-prep,pcr-setup,normalization,pooling",modules=magnetic module gen2|temperature module gen2|thermocycler module; pipettes=_multi|_single,amended,adds CSV/worklist-driven arbitrary source-to-destination pooling (picklist consolidation),family-pooling
illumina-dna-prep-32x-double-sided-size-selection,Illumina-DNA-Prep-32x-double-sided-size-selection,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,reagent-distribution,new:washing",-,nothing-new,-,family-ngs-library-prep
customizable_serial_dilution_ot2,customizable_serial_dilution_ot2,serial-dilution,"serial-dilution,simple-transfer",-,nothing-new,-,family-serial-dilution
bms-pcr,bms-pcr,pcr-setup,"pcr-setup,normalization,simple-transfer",modules=temperature module gen2|thermocyclermodulev2,nothing-new,-,family-pcr-setup
sci-omegabiotek-extraction-fa,sci-omegabiotek-extraction-fa,bead-cleanup,"bead-cleanup,simple-transfer,new:washing,new:blood-clinical",modules=mag_gen; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
hdq_dna_flex_multi-bacteria,HDQ_DNA_Flex_Multi-Bacteria,bead-cleanup,"bead-cleanup,new:washing,new:blood-clinical",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=_multi|flex_8channel,nothing-new,-,family-bead-cleanup-ampure
4a0be6,4a0be6,reagent-distribution,"reagent-distribution,simple-transfer",-,amended,adds tube-rack destination labware role and sequential well-by-well distribution loop,family-reagent-distribution
